_1;recno;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Vmag;e_Vmag;Bmag;e_Bmag
 ; ;deg;deg;arcsec;arcsec;mag;mag;mag;mag
----------------------------------------;--------;----------;----------;------;------;------;------;------;------
63                                      ;27924297;264.671972;-32.485229; 0.132; 0.070; 9.342; 0.000; 9.793; 0.000

64                                      ;27909450;265.096886;-32.528694; 0.299; 0.792; 9.377; 0.000; 9.993; 0.059

65                                      ;27926597;265.062002;-31.994964; 0.114; 0.240;10.973; 0.028;11.409; 0.017

66                                      ;27926595;265.045685;-32.005360; 0.086; 0.228;10.944; 0.034;11.479; 0.013

67                                      ;27926592;265.024010;-32.012186; 0.105; 0.233;12.481; 0.038;12.965; 0.013

68                                      ;27925030;264.891377;-32.014178; 0.147; 0.233;12.019; 0.029;12.539; 0.016

69                                      ;27911563;265.277081;-32.019982; 0.109; 0.307;12.970; 0.040;14.122; 0.010

70                                      ;27925032;264.904713;-32.022192; 0.092; 0.199;12.362; 0.032;13.067; 0.013

71;;;;;;;;;

72                                      ;27925027;264.878821;-32.025487; 0.115; 0.163;11.454; 0.026;11.899; 0.015

73                                      ;27911548;265.163255;-32.028955; 0.124; 0.314;12.467; 0.052;12.963; 0.020

74                                      ;27911567;265.206469;-32.036629; 0.112; 0.284;11.134; 0.045;12.503; 0.019

75                                      ;27925022;264.923914;-32.036084; 0.114; 0.161;12.074; 0.025;12.377; 0.016

76;;;;;;;;;

77                                      ;27925026;264.878288;-32.051462; 0.070; 0.253;12.437; 0.031;13.503; 0.014

78                                      ;27926582;265.071677;-32.052344; 0.141; 0.236;11.803; 0.022;12.207; 0.021

79                                      ;27925020;264.911600;-32.063468; 0.072; 0.150;11.293; 0.027;11.823; 0.018

80                                      ;27924958;265.063513;-32.082168; 0.105; 0.211;11.150; 0.035;11.754; 0.014

81                                      ;27924962;265.036814;-32.083062; 0.153; 0.249;13.025; 0.031;13.819; 0.016

82;;;;;;;;;

83                                      ;27925099;264.677333;-32.091407; 0.116; 0.185;11.967; 0.024;12.315; 0.018

84                                      ;27911495;265.293232;-32.102397; 0.595; 0.805;11.551; 0.034;12.203; 0.022

85                                      ;27911493;265.364006;-32.103037; 0.105; 0.382;12.181; 0.039;13.628; 0.017

86                                      ;27911535;265.104690;-32.103120; 0.115; 0.218;10.818; 0.032;11.168; 0.026

87                                      ;27911533;265.144487;-32.108985; 0.120; 0.257;12.756; 0.039;13.418; 0.010

88                                      ;27911488;265.326705;-32.111771; 0.154; 0.330;12.951; 0.049;14.571; 0.026

89                                      ;27911494;265.286522;-32.114824; 0.120; 0.268;10.651; 0.042;11.066; 0.021

90                                      ;27924950;264.992462;-32.115982; 0.148; 0.248;12.402; 0.021;13.102; 0.014

91                                      ;27910079;265.080660;-32.118170; 0.140; 0.239;13.122; 0.044;14.120; 0.010

92                                      ;27911516;265.153333;-32.129141; 0.132; 0.226;11.919; 0.034;12.439; 0.024

93                                      ;27924990;264.826462;-32.129474; 0.138; 0.209;10.506; 0.023;10.740; 0.021

